TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2019,,3.5,,2.9,4.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2020,,3.3,,2.7,3.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2021,,3.0,,2.4,3.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2022,,4.1,,3.4,5.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2023,,4.1,,3.5,4.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2024,,5.0,,4.3,5.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2019,,4.7,,4.0,5.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2020,,4.3,,3.6,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2021,,4.5,,3.8,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2022,,4.6,,4.0,5.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2023,,5.2,,4.6,5.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2024,,5.8,,5.1,6.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2019,,4.4,,3.9,4.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2020,,4.4,,3.9,5.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2021,,4.5,,4.0,5.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2022,,5.1,,4.6,5.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2023,,5.6,,5.0,6.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2024,,5.9,,5.4,6.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2019,,4.7,,4.1,5.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2020,,4.7,,4.1,5.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2021,,4.4,,3.9,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2022,,5.9,,5.2,6.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2023,,6.5,,5.8,7.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
Did not get needed mental health care due to cost,,,Healthcare access and quality,150,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2024,,6.5,,5.8,7.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA33,SC_NHISA00"
