TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2019,,10.6,,9.4,11.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2020,,10.6,,9.6,11.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2021,,11.0,,10.1,12.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2022,,13.2,,11.9,14.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2023,,11.5,,10.4,12.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2024,,11.4,,10.3,12.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2019,,11.4,,10.5,12.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2020,,12.4,,11.3,13.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2021,,11.3,,10.4,12.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2022,,13.6,,12.6,14.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2023,,12.9,,11.9,14.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2024,,12.5,,11.5,13.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2019,,11.4,,10.7,12.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
