TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2019,,4.4,,3.6,5.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2020,,4.2,,3.5,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2021,,4.0,,3.4,4.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2022,,4.7,,3.9,5.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2023,,3.9,,3.3,4.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Northeast,44,44,,,"Percent of population, crude",1,2024,,4.6,,3.9,5.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2019,,5.1,,4.4,5.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2020,,4.9,,4.2,5.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2021,,4.3,,3.8,4.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2022,,5.7,,5.0,6.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2023,,4.9,,4.3,5.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,Midwest,45,45,,,"Percent of population, crude",1,2024,,4.5,,4.0,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2019,,4.8,,4.3,5.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2020,,4.6,,4.1,5.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2021,,5.1,,4.6,5.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2022,,5.0,,4.5,5.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA41,SC_NHISA00"
