TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Private,66,66,,,"Percent of population, crude",1,2019,,2.8,,2.2,3.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Private,66,66,,,"Percent of population, crude",1,2020,,2.5,,2.0,3.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Private,66,66,,,"Percent of population, crude",1,2021,,2.6,,2.0,3.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Private,66,66,,,"Percent of population, crude",1,2022,,3.1,,2.5,3.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Private,66,66,,,"Percent of population, crude",1,2023,,2.1,,1.6,2.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Private,66,66,,,"Percent of population, crude",1,2024,,2.0,,1.5,2.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2019,,9.2,,6.9,12.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2020,,7.8,,5.4,10.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2021,,8.4,,5.7,11.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2022,,7.4,,5.0,10.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2023,,9.2,,6.9,11.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2024,,8.1,,6.1,10.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2019,,4.4,,3.5,5.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2020,,3.2,,2.5,4.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2021,,3.7,,3.0,4.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2022,,3.5,,2.8,4.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2023,,3.9,,3.2,4.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2024,,3.5,,2.8,4.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2019,,3.9,,2.6,5.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2020,,3.3,,2.1,4.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2021,,3.6,,2.4,5.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2022,,4.9,,3.5,6.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2023,,3.2,,2.2,4.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2024,,2.3,,1.5,3.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2019,,5.2,,3.6,7.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2020,,4.3,,2.7,6.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2021,,3.2,,2.0,4.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2022,,5.6,,3.9,7.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2023,,6.0,,4.1,8.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2024,,4.4,,2.9,6.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2019,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2020,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2021,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2022,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2023,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2024,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2019,,2.8,,2.5,3.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2020,,3.0,,2.7,3.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2021,,3.3,,2.9,3.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2022,,3.8,,3.3,4.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2023,,3.7,,3.3,4.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2024,,3.6,,3.2,4.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2019,,10.9,,9.6,12.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2020,,11.3,,9.8,13.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
Regularly had feelings of depression,,,Mental wellness,200,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2021,,10.4,,9.2,11.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA41,SC_NHISA00"
